Supplementary Table 3. Differential abundance analysis results across meat and dairy groups for microbiome features.						
Feature Type/Library	Feature	Feature function/pathway/details	Fold Change	Group with higher relative abundace	Mann Whitney U test raw p-value	FDR 
K00853	L-ribulokinase [EC:2.7.1.16]	Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions	0.939885707	Meat	0.020128887	0.751940949
ENOG410ZJPZ	NUDIX domain	Nucleotide transport and metabolism	1.672019365	Meat	0.020150545	0.751940949
k_Bacteria.p_Actinobacteria.c_Actinomycetia.o_Streptomycetales.f_Streptomycetaceae.g_Streptomyces.s_Unclassified.Streptomyces	NA	NA	1.638137365	Meat	0.020683303	0.751940949
COG0480	Translation elongation factors (GTPases)	"Translation, ribosomal structure and biogenesis"	0.082836166	Meat	0.021081095	0.751940949
PF01255	[Putative undecaprenyl diphosphate synthase]		0.122114495	Meat	0.021081095	0.751940949
PF04472	[Cell division protein SepF]		0.257433358	Meat	0.021081095	0.751940949
PF00203	[Ribosomal protein S19]		0.274521282	Meat	0.021081095	0.751940949
K19954	alcohol dehydrogenase [EC:1.1.1.-]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	1.83226449	Meat	0.021133524	0.751940949
ENOG4110504	Phosphoadenosine phosphosulfate reductase family	Function unknown	2.807668243	Meat	0.021852589	0.751940949
ENOG410YQKC		Function unknown	2.679069599	Meat	0.021924528	0.751940949
COG0048	Ribosomal protein S12	"Translation, ribosomal structure and biogenesis"	0.148961761	Meat	0.022072313	0.751940949
PF01000	[RNA polymerase Rpb3/RpoA insert domain]		0.197205919	Meat	0.022072313	0.751940949
COG1534	"Predicted RNA-binding protein containing KH domain, possibly ribosomal protein"	"Translation, ribosomal structure and biogenesis"	0.230732698	Meat	0.022072313	0.751940949
COG0221	Inorganic pyrophosphatase	Energy production and conversion	0.640005814	Meat	0.022072313	0.751940949
ENOG410ZZD0		Function unknown	1.062038505	Meat	0.022072313	0.751940949
PF19789	[]		1.072915412	Meat	0.022072313	0.751940949
ENOG410Y3AD	CobQ/CobB/MinD/ParA nucleotide binding domain	"Cell cycle control, cell division, chromosome partitioning"	1.855366029	Meat	0.022200712	0.751940949
COG3570	Streptomycin 6-kinase	"('{} (path not available)', 'COG3570')"	1.653538402	Meat	0.022264746	0.751940949
ENOG410XXHT	Protein of unknown function (DUF3296)	Function unknown	1.925197351	Meat	0.022408947	0.751940949
ENOG4112BFI	Domain of unknown function (DUF1910)	Function unknown	1.660879826	Meat	0.022956397	0.751940949
K07300	Ca2+:H+ antiporter	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	1.416297155	Meat	0.023051513	0.751940949
ENOG410Z9EY	TonB dependent receptor	Inorganic ion transport and metabolism	2.241019446	Meat	0.023081866	0.751940949
K07649	"two-component system, OmpR family, sensor histidine kinase TctE [EC:2.7.13.3]"	Environmental Information Processing; Signal transduction; Two-component system | Brite Hierarchies; Protein families: metabolism; Protein kinases | Brite Hierarchies; Protein families: signaling and cellular processes; Two-component system	1.275053929	Meat	0.023090966	0.751940949
COG0648	Endonuclease IV	"DNA replication, recombination and repair"	0.104981398	Meat	0.023103826	0.751940949
K03664	SsrA-binding protein	Not Included in Pathway or Brite; Unclassified: genetic information processing; Protein processing | Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Unclassified viral proteins	0.152974821	Meat	0.023103826	0.751940949
PF00380	[Ribosomal protein S9/S16]		0.173651684	Meat	0.023103826	0.751940949
COG0234	Co-chaperonin GroES (HSP10)	"Posttranslational modification, protein turnover, chaperones"	0.195678769	Meat	0.023103826	0.751940949
COG0098	Ribosomal protein S5	"Translation, ribosomal structure and biogenesis"	0.210433676	Meat	0.023103826	0.751940949
ENOG4111J59	Transcriptional regulator	Transcription	0.584366889	Meat	0.023103826	0.751940949
ENOG41100QY	Peptidase family S51	Amino acid transport and metabolism	1.487658112	Meat	0.023103826	0.751940949
K18345	"two-component system, OmpR family, sensor histidine kinase VanS [EC:2.7.13.3]"	Environmental Information Processing; Signal transduction; Two-component system | Human Diseases; Drug resistance: Antimicrobial; Vancomycin resistance | Brite Hierarchies; Protein families: metabolism; Protein kinases | Brite Hierarchies; Protein families: signaling and cellular processes; Two-component system | Brite Hierarchies; Protein families: signaling and cellular processes; Antimicrobial resistance genes	1.786767376	Meat	0.023225437	0.751940949
PF04655	[Aminoglycoside/hydroxyurea antibiotic resistance kinase]		1.593424923	Meat	0.023558348	0.751940949
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Clostridiaceae.g_Clostridium.s_Clostridium.botulinum	NA	NA	1.638234114	Meat	0.02358534	0.751940949
PF09863	[Uncharacterized protein conserved in bacteria (DUF2090)]		1.265321231	Meat	0.023656542	0.751940949
ENOG4111H1F	ragb susd	Function unknown	1.505539526	Meat	0.024039185	0.751940949
ENOG4111MT2		Function unknown	2.267573916	Meat	0.024039185	0.751940949
COG0115	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase	Coenzyme metabolism|Amino acid transport and metabolism	0.120483422	Meat	0.024176946	0.751940949
COG0016	Phenylalanyl-tRNA synthetase alpha subunit	"Translation, ribosomal structure and biogenesis"	0.124406641	Meat	0.024176946	0.751940949
COG0540	"Aspartate carbamoyltransferase, catalytic chain"	Nucleotide transport and metabolism	0.130781676	Meat	0.024176946	0.751940949
COG0357	Predicted S-adenosylmethionine-dependent methyltransferase involved in bacterial cell division	"Cell envelope biogenesis, outer membrane"	0.196448837	Meat	0.024176946	0.751940949
K03704	"cold shock protein (beta-ribbon, CspA family)"	Brite Hierarchies; Protein families: genetic information processing; Transcription factors	0.331857693	Meat	0.024176946	0.751940949
COG1210	UDP-glucose pyrophosphorylase	"Cell envelope biogenesis, outer membrane"	0.564291028	Meat	0.024176946	0.751940949
PF00719	[Inorganic pyrophosphatase]		0.633890538	Meat	0.024176946	0.751940949
K01118	FMN-dependent NADH-azoreductase [EC:1.7.1.17]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	0.686461247	Meat	0.024176946	0.751940949
K19267	NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]	Metabolism; Metabolism of cofactors and vitamins; Ubiquinone and other terpenoid-quinone biosynthesis	1.019668002	Meat	0.024176946	0.751940949
K07034	uncharacterized protein	Not Included in Pathway or Brite; Poorly characterized; Function unknown	1.051638275	Meat	0.024176946	0.751940949
ENOG410XP3U	Protein of unknown function (DUF1446)	Function unknown	1.101808579	Meat	0.024176946	0.751940949
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Peptostreptococcaceae.g_Romboutsia.s_Romboutsia.timonensis	NA	NA	2.247765376	Meat	0.024726784	0.751940949
K09515	DnaJ homolog subfamily B member 9	Brite Hierarchies; Protein families: genetic information processing; Chaperones and folding catalysts	1.762337774	Meat	0.024810357	0.751940949
k_Bacteria.p_Firmicutes.c_Erysipelotrichia.o_Erysipelotrichales.f_Erysipelotrichaceae.g_Massilimicrobiota.s_Massilimicrobiota.timonensis	NA	NA	1.474272222	Meat	0.024916678	0.751940949
PF13455	[Meiotically up-regulated gene 113]		1.553411106	Meat	0.025237297	0.751940949
COG1243	Histone acetyltransferase	Transcription	1.159238349	Meat	0.025290228	0.751940949
COG2766	Putative Ser protein kinase	Signal transduction mechanisms	1.416561754	Meat	0.025290228	0.751940949
COG2884	Predicted ATPase involved in cell division	Cell division and chromosome partitioning	0.18271744	Meat	0.025293015	0.751940949
COG0613	Predicted metal-dependent phosphoesterases (PHP family)	General function prediction only	0.342896839	Meat	0.025293015	0.751940949
COG1684	"Flagellar biosynthesis pathway, component FliR"	Cell motility and secretion	0.783047084	Meat	0.025293015	0.751940949
ENOG4111IA1	acetyltransferase	Function unknown	0.787117642	Meat	0.025293015	0.751940949
K00121	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Energy metabolism; Methane metabolism | Metabolism; Lipid metabolism; Fatty acid degradation | Metabolism; Amino acid metabolism; Tyrosine metabolism | Metabolism; Metabolism of cofactors and vitamins; Retinol metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Chloroalkane and chloroalkene degradation | Metabolism; Xenobiotics biodegradation and metabolism; Naphthalene degradation | Metabolism; Xenobiotics biodegradation and metabolism; Metabolism of xenobiotics by cytochrome P450 | Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - cytochrome P450 | Human Diseases; Cancers: Overview; Chemical carcinogenesis	1.116499271	Meat	0.025293015	0.751940949
ENOG410Z7PY		Function unknown	1.65540135	Meat	0.025720583	0.751940949
K05352	ribitol-5-phosphate 2-dehydrogenase (NADP+) [EC:1.1.1.405]	Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions	1.918641522	Meat	0.026292584	0.751940949
COG2719	Uncharacterized conserved protein	Function unknown	1.337626443	Meat	0.026424658	0.751940949
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Oscillospiraceae.g_Anaeromassilibacillus.s_Unclassified.Anaeromassilibacillus	NA	NA	1.176842913	Meat	0.026450524	0.751940949
COG0093	Ribosomal protein L14	"Translation, ribosomal structure and biogenesis"	0.197134912	Meat	0.026453399	0.751940949
PF00543	[Nitrogen regulatory protein P-II]		0.267732454	Meat	0.026453399	0.751940949
PF00717	[Peptidase S24-like]		0.269779357	Meat	0.026453399	0.751940949
PF12697	[Alpha/beta hydrolase family]		0.561579912	Meat	0.026453399	0.751940949
K02388	flagellar basal-body rod protein FlgC	Cellular Processes; Cell motility; Flagellar assembly | Brite Hierarchies; Protein families: signaling and cellular processes; Bacterial motility proteins	0.726576082	Meat	0.026453399	0.751940949
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Peptostreptococcaceae.g_Romboutsia.s_Unclassified.Romboutsia	NA	NA	2.071740068	Meat	0.026453399	0.751940949
PF05840	[Bacteriophage replication gene A protein (GPA)]		2.044923006	Meat	0.026695151	0.751940949
PF18155	[]		1.851484324	Meat	0.026859746	0.751940949
COG3591	V8-like Glu-specific endopeptidase	Amino acid transport and metabolism	1.534281979	Meat	0.027021458	0.751940949
ENOG410Y1MR	Chromate transport protein	Inorganic ion transport and metabolism	2.015266545	Meat	0.027084891	0.751940949
K03409	chemotaxis protein CheX	Cellular Processes; Cell motility; Bacterial chemotaxis | Brite Hierarchies; Protein families: signaling and cellular processes; Bacterial motility proteins	1.242431731	Meat	0.027104974	0.751940949
ENOG410XNTB	"Transcriptional regulator, LysR family"	Transcription	0.840180481	Meat	0.027160676	0.751940949
K19586	"membrane fusion protein, multidrug efflux system"	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	1.191371354	Meat	0.0273939	0.751940949
PF04293	[SpoVR like protein]		1.376584211	Meat	0.027600233	0.751940949
ENOG4111QDN	Domain of unknown function (DUF955)	Function unknown	1.718310848	Meat	0.027656528	0.751940949
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Lawsonibacter..no.family.in.NCBI..g_Lawsonibacter.s_Lawsonibacter.asaccharolyticus	NA	NA	1.863698585	Meat	0.027656528	0.751940949
COG2606	Uncharacterized conserved protein	Function unknown	0.139624424	Meat	0.027659492	0.751940949
COG0198	Ribosomal protein L24	"Translation, ribosomal structure and biogenesis"	0.208830683	Meat	0.027659492	0.751940949
PF06838	[Methionine gamma-lyase ]		0.239706268	Meat	0.027659492	0.751940949
PF13510	[2Fe-2S iron-sulfur cluster binding domain]		0.320236218	Meat	0.027659492	0.751940949
PF01183	[Glycosyl hydrolases family 25]		0.322682553	Meat	0.027659492	0.751940949
K07160	5-oxoprolinase (ATP-hydrolysing) subunit A [EC:3.5.2.9]	Metabolism; Metabolism of other amino acids; Glutathione metabolism	0.540772057	Meat	0.027659492	0.751940949
PF00669	[Bacterial flagellin N-terminal helical region]		0.756608402	Meat	0.027659492	0.751940949
COG3956	Protein containing tetrapyrrole methyltransferase domain and MazG-like (predicted pyrophosphatase) domain	General function prediction only	0.772417629	Meat	0.027659492	0.751940949
K08302	"tagatose 1,6-diphosphate aldolase GatY/KbaY [EC:4.1.2.40]"	Metabolism; Carbohydrate metabolism; Galactose metabolism	0.790428551	Meat	0.027659492	0.751940949
K07496	putative transposase	Not Included in Pathway or Brite; Unclassified: genetic information processing; Replication and repair	0.805216262	Meat	0.027659492	0.751940949
ENOG410ZY7A		Function unknown	1.678707087	Meat	0.028546859	0.751940949
ENOG410ZCZ7	Transcriptional regulator	Transcription	1.424004784	Meat	0.028748057	0.751940949
PF00770	[Adenovirus endoprotease]		0.490932896	Meat	0.028848156	0.751940949
K06415	stage V sporulation protein R	Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Cell growth	1.298985244	Meat	0.02888217	0.751940949
K02358	elongation factor Tu	Brite Hierarchies; Protein families: genetic information processing; Translation factors | Brite Hierarchies; Protein families: genetic information processing; Mitochondrial biogenesis | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome	0.141615986	Meat	0.028912715	0.751940949
COG0231	Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)	"Translation, ribosomal structure and biogenesis"	0.151655739	Meat	0.028912715	0.751940949
PF01475	[Ferric uptake regulator family]		0.152715075	Meat	0.028912715	0.751940949
COG1066	Predicted ATP-dependent serine protease	"Posttranslational modification, protein turnover, chaperones"	0.153691629	Meat	0.028912715	0.751940949
COG0091	Ribosomal protein L22	"Translation, ribosomal structure and biogenesis"	0.183173894	Meat	0.028912715	0.751940949
PF01728	[FtsJ-like methyltransferase]		0.222954865	Meat	0.028912715	0.751940949
COG4100	Cystathionine beta-lyase family protein involved in aluminum resistance	Inorganic ion transport and metabolism	0.268073077	Meat	0.028912715	0.751940949
PF01592	[NifU-like N terminal domain]		0.288300312	Meat	0.028912715	0.751940949
PF13460	[NAD(P)H-binding ]		0.611653548	Meat	0.028912715	0.751940949
K08309	soluble lytic murein transglycosylase [EC:4.2.2.-]	Brite Hierarchies; Protein families: metabolism; Peptidoglycan biosynthesis and degradation proteins	0.810912897	Meat	0.028912715	0.751940949
COG3231	Aminoglycoside phosphotransferase	"Translation, ribosomal structure and biogenesis"	1.193800333	Meat	0.028912715	0.751940949
K17204	erythritol transport system ATP-binding protein	Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	1.91164066	Meat	0.029075595	0.751940949
K12979	beta-hydroxylase [EC:1.14.11.-]	Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins	1.143031046	Meat	0.029406108	0.751940949
K13745	"L-2,4-diaminobutyrate decarboxylase [EC:4.1.1.86]"	"Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism"	1.242871235	Meat	0.029775191	0.751940949
K04844	hypothetical glycosyl hydrolase [EC:3.2.1.-]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	1.391982937	Meat	0.02983753	0.751940949
ENOG4112546	RelB antitoxin	Function unknown	2.277808627	Meat	0.02983753	0.751940949
ENOG41110S8	RICIN	Function unknown	2.105377642	Meat	0.029981933	0.751940949
ENOG410YBFJ	tonB-dependent receptor plug	Inorganic ion transport and metabolism	1.352251948	Meat	0.030039141	0.751940949
ENOG410XQVW	Beta-lactamase-like protein	Function unknown	0.800347979	Meat	0.030133656	0.751940949
K18146	multidrug efflux pump	Human Diseases; Drug resistance: Antimicrobial; beta-Lactam resistance | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Antimicrobial resistance genes	1.564415527	Meat	0.030133656	0.751940949
K06917	tRNA 2-selenouridine synthase [EC:2.9.1.-]	Brite Hierarchies; Protein families: genetic information processing; Transfer RNA biogenesis	1.221447994	Meat	0.030183043	0.751940949
K02871	large subunit ribosomal protein L13	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	0.155589567	Meat	0.030214515	0.751940949
